    161 | twitter  | earthquake | Passport83Moda         |   611 | rt @fashionvault_la: our thoughts are with guatemala this evening, as the country has suffered a devastating earthquake. we keep them in ...
    162 | twitter  | earthquake | Dave_Wilhelm           |   251 | rt @jadenalexander3: here is an old bit on canadas earthquake movements and possibilities http://t.co/wdc0hybn   @dave_wilhelm @teknodav ...
    163 | twitter  | earthquake | cwagner22              |    10 | new jersey earthquake 2012: small quake rattles ringwood community http://t.co/igf0cjod via @huffingtonpost                                 
    164 | twitter  | earthquake | maddywinters           |  1020 | rt @_mikeyfuckso: hurricane a week ago, earthquake 2 days ago, and a snow storm now? i think nj needs a break.                              
    165 | twitter  | earthquake | CooperHughes           |    77 | powerful earthquake topples homes and hillsides in guatemala, killing at least 48 people http://t.co/nkkong30                               
    166 | twitter  | earthquake | Giman4                 |    34 | hey peeps in vancouver hope all is well. heard there was a 6.4 earthquake by vancouver islands. #vancouverislandisrocking                   
    167 | twitter  | earthquake | Lisa_Ambro             |    52 | \u201c@nationalpost: breaking: magnitude 6.3 quake strikes off vancouver island http://t.co/2hmnvtbq\u201d #bc #earthquake                  
    168 | twitter  | terremot | lucywillson            |   996 | rt @lacuarta: para no creer: arjona toc\xf3 anoche en la zona del terremoto http://t.co/sual26f1                                            
    169 | twitter  | earthquake | PrabhatShubha          |     0 | rt @yogurtbay: he moves and tosses the officer to one side who falls down and it feels like its an earthquake                               
    170 | twitter  | earthquake | jdenton_17             |    95 | rt @jnushart: "if you don't eat your crust, there will be an earthquake" - @jdenton_17                                                      
    171 | twitter  | earthquake | kamarady1              |    62 | rt @earthquake: #earthquake m 7.5, offshore guatemala nov  7, 2012 16:35:49 utc http://t.co/drhs4nro                                        
    172 | twitter  | earthquake | NatalieKnoke           |    15 | @iansomerhalder i thought so too until the earthquake happened here in guatemala :(                                                         
    173 | twitter  | earthquake | cwharlow               |   417 | rt @postworldnews: powerful earthquake topples homes and hillsides in guatemala, killing at least 48 people http://t.co/8ulboabx            
    174 | twitter  | gempa bumi | kurnypeacespot         |   272 | ngungsi yak, habis gempa bumi pa gmana,he rt "@klaudia_sf: gedung kesenian ga punya jendela mas wkw                                         
    175 | twitter  | earthquake | DaenaSethna            |    18 | rt @yogurtbay: he moves and tosses the officer to one side who falls down and it feels like its an earthquake                               
    176 | twitter  | earthquake | vancerains             |   601 | rt @worldvisionusa: sending out a prayer to those affected by the earthquake in guatemala. // article from @cnn: http://t.co/8i7ujtob       
    177 | twitter  | earthquake | ravenfiji              |   220 | rt @skynews: guatemala earthquake: at least 48 dead http://t.co/ihmyu14d                                                                    
    178 | twitter  | earthquake | utouchmehistory        |   192 | #aljazeera dozens killed in guatemala earthquake: quake registering 7.4 magnitude leaves at least 48 people dead... http://t.co/yvhyinbt    
